replicate,packet_count,best_candidate,best_harmonic,best_resultant_r,best_arc80,h1_resultant_r,h1_arc80,placement_failed
146,4581,logT_over_pi_h1,1,0.9991676286785429,0.017891736136307124,0.9991676286785429,0.017891736136307124,False
147,4581,logT_over_pi_h1,1,0.9991525194035988,0.017939249302987292,0.9991525194035988,0.017939249302987292,False
148,4581,logT_over_pi_h1,1,0.9991468525831823,0.0179612687146804,0.9991468525831823,0.0179612687146804,False
149,4581,logT_over_pi_h1,1,0.9991541693881749,0.018036377970598316,0.9991541693881749,0.018036377970598316,False
150,4581,logT_over_pi_h1,1,0.9991624170045244,0.017626632884373272,0.9991624170045244,0.017626632884373272,False
151,4581,logT_over_pi_h1,1,0.9991294196583299,0.018199441462576793,0.9991294196583299,0.018199441462576793,False
152,4581,logT_over_pi_h1,1,0.9991550745425053,0.018028470613367986,0.9991550745425053,0.018028470613367986,False
153,4581,logT_over_pi_h1,1,0.9991375762971654,0.018195200191544636,0.9991375762971654,0.018195200191544636,False
154,4581,logT_over_pi_h1,1,0.999149308247961,0.01800430204294301,0.999149308247961,0.01800430204294301,False
155,4581,logT_over_pi_h1,1,0.9991396493297151,0.01819170067030651,0.9991396493297151,0.01819170067030651,False
156,4581,logT_over_pi_h1,1,0.9991452970159144,0.017899081175887233,0.9991452970159144,0.017899081175887233,False
157,4581,logT_over_pi_h1,1,0.9991337171869419,0.018146485106693255,0.9991337171869419,0.018146485106693255,False
158,4581,logT_over_pi_h1,1,0.9991537892511991,0.017975807110578224,0.9991537892511991,0.017975807110578224,False
159,4581,logT_over_pi_h1,1,0.9991556001633035,0.017960515978423075,0.9991556001633035,0.017960515978423075,False
160,4581,logT_over_pi_h1,1,0.9991469822252816,0.017973741745878513,0.9991469822252816,0.017973741745878513,False
161,4581,logT_over_pi_h1,1,0.9991335677738152,0.018186442966599436,0.9991335677738152,0.018186442966599436,False
162,4581,logT_over_pi_h1,1,0.9991457038209829,0.018077735089218727,0.9991457038209829,0.018077735089218727,False
163,4581,logT_over_pi_h1,1,0.999153875106986,0.017872530892651284,0.999153875106986,0.017872530892651284,False
164,4581,logT_over_pi_h1,1,0.9991720581035043,0.01786240733014033,0.9991720581035043,0.01786240733014033,False
165,4581,logT_over_pi_h1,1,0.9991418951041374,0.017898400245542234,0.9991418951041374,0.017898400245542234,False
166,4581,logT_over_pi_h1,1,0.9991619839467247,0.017879438644256673,0.9991619839467247,0.017879438644256673,False
167,4581,logT_over_pi_h1,1,0.9991687837933592,0.01772445850940496,0.9991687837933592,0.01772445850940496,False
168,4581,logT_over_pi_h1,1,0.9991514370015212,0.01789492676071447,0.9991514370015212,0.01789492676071447,False
169,4581,logT_over_pi_h1,1,0.9991475981769723,0.017918741403585514,0.9991475981769723,0.017918741403585514,False
170,4581,logT_over_pi_h1,1,0.9991559875531962,0.017802630507517847,0.9991559875531962,0.017802630507517847,False
171,4581,logT_over_pi_h1,1,0.9991340400140422,0.01820400313410797,0.9991340400140422,0.01820400313410797,False
172,4581,logT_over_pi_h1,1,0.9991549753159837,0.01804154601168584,0.9991549753159837,0.01804154601168584,False
173,4581,logT_over_pi_h1,1,0.9991463588506193,0.01798258677892317,0.9991463588506193,0.01798258677892317,False
174,4581,logT_over_pi_h1,1,0.9991480820141998,0.017953521736989053,0.9991480820141998,0.017953521736989053,False
175,4581,logT_over_pi_h1,1,0.9991389144627996,0.018126279693229996,0.9991389144627996,0.018126279693229996,False
176,4581,logT_over_pi_h1,1,0.9991686002319596,0.01786234494815364,0.9991686002319596,0.01786234494815364,False
177,4581,logT_over_pi_h1,1,0.9991669705903811,0.017813600653171058,0.9991669705903811,0.017813600653171058,False
178,4581,logT_over_pi_h1,1,0.9991484898501577,0.01794638288881867,0.9991484898501577,0.01794638288881867,False
179,4581,logT_over_pi_h1,1,0.9991610850331129,0.0180030136827547,0.9991610850331129,0.0180030136827547,False
180,4581,logT_over_pi_h1,1,0.9991357962758853,0.018089155089650255,0.9991357962758853,0.018089155089650255,False
181,4581,logT_over_pi_h1,1,0.9991427527035721,0.017874879645762398,0.9991427527035721,0.017874879645762398,False
182,4581,logT_over_pi_h1,1,0.9991386435289801,0.018219814767585163,0.9991386435289801,0.018219814767585163,False
183,4581,logT_over_pi_h1,1,0.9991473406737191,0.017954208620361456,0.9991473406737191,0.017954208620361456,False
184,4581,logT_over_pi_h1,1,0.9991593223729015,0.0179706803780606,0.9991593223729015,0.0179706803780606,False
185,4581,logT_over_pi_h1,1,0.9991275652896418,0.01805059467770853,0.9991275652896418,0.01805059467770853,False
186,4581,logT_over_pi_h1,1,0.9991553332161655,0.017971573971403032,0.9991553332161655,0.017971573971403032,False
187,4581,logT_over_pi_h1,1,0.9991601214919457,0.01796467633113874,0.9991601214919457,0.01796467633113874,False
188,4581,logT_over_pi_h1,1,0.999146367543331,0.01809306898467522,0.999146367543331,0.01809306898467522,False
189,4581,logT_over_pi_h1,1,0.999152254249504,0.01802241940089999,0.999152254249504,0.01802241940089999,False
190,4581,logT_over_pi_h1,1,0.9991414168916578,0.017916269855875022,0.9991414168916578,0.017916269855875022,False
191,4581,logT_over_pi_h1,1,0.9991561596072941,0.017797682679126403,0.9991561596072941,0.017797682679126403,False
192,4581,logT_over_pi_h1,1,0.9991520927559655,0.017715278932098677,0.9991520927559655,0.017715278932098677,False
193,4581,logT_over_pi_h1,1,0.9991446858220299,0.01793922523528746,0.9991446858220299,0.01793922523528746,False
194,4581,logT_over_pi_h1,1,0.9991413002385587,0.01806136685231685,0.9991413002385587,0.01806136685231685,False
195,4581,logT_over_pi_h1,1,0.999119775657292,0.01829512520554477,0.999119775657292,0.01829512520554477,False
196,4581,logT_over_pi_h1,1,0.9991483763266249,0.01796486576527556,0.9991483763266249,0.01796486576527556,False
197,4581,logT_over_pi_h1,1,0.9991553967868221,0.01802816081201808,0.9991553967868221,0.01802816081201808,False
198,4581,logT_over_pi_h1,1,0.9991548254404998,0.017789847210354814,0.9991548254404998,0.017789847210354814,False
199,4581,logT_over_pi_h1,1,0.999125734904336,0.018102305405122365,0.999125734904336,0.018102305405122365,False
200,4581,logT_over_pi_h1,1,0.9991523059204078,0.01787881414112924,0.9991523059204078,0.01787881414112924,False
201,4581,logT_over_pi_h1,1,0.9991399543211259,0.018070842700010914,0.9991399543211259,0.018070842700010914,False
202,4581,logT_over_pi_h1,1,0.9991425223604389,0.0180924304432164,0.9991425223604389,0.0180924304432164,False
203,4581,logT_over_pi_h1,1,0.999145194828489,0.018008220760922455,0.999145194828489,0.018008220760922455,False
204,4581,logT_over_pi_h1,1,0.9991583417352102,0.017809886169585454,0.9991583417352102,0.017809886169585454,False
205,4581,logT_over_pi_h1,1,0.9991421300681768,0.01804618570971961,0.9991421300681768,0.01804618570971961,False
206,4581,logT_over_pi_h1,1,0.9991478185432962,0.017877834237657098,0.9991478185432962,0.017877834237657098,False
207,4581,logT_over_pi_h1,1,0.999127545308322,0.01815448993615032,0.999127545308322,0.01815448993615032,False
208,4581,logT_over_pi_h1,1,0.9991459308696229,0.01802625340975883,0.9991459308696229,0.01802625340975883,False
209,4581,logT_over_pi_h1,1,0.9991520895404119,0.01797565742476337,0.9991520895404119,0.01797565742476337,False
210,4581,logT_over_pi_h1,1,0.9991358212442456,0.01806374395629451,0.9991358212442456,0.01806374395629451,False
211,4581,logT_over_pi_h1,1,0.9991897009513041,0.017615264752880222,0.9991897009513041,0.017615264752880222,False
212,4581,logT_over_pi_h1,1,0.9991696859056327,0.017870262289642724,0.9991696859056327,0.017870262289642724,False
213,4581,logT_over_pi_h1,1,0.9991429920874952,0.018074199288549586,0.9991429920874952,0.018074199288549586,False
214,4581,logT_over_pi_h1,1,0.9991361986045239,0.018199151425385196,0.9991361986045239,0.018199151425385196,False
215,4581,logT_over_pi_h1,1,0.9991607028271021,0.017833456639086975,0.9991607028271021,0.017833456639086975,False
216,4581,logT_over_pi_h1,1,0.9991476971127123,0.018046636439198238,0.9991476971127123,0.018046636439198238,False
217,4581,logT_over_pi_h1,1,0.9991443972474601,0.018093949811523125,0.9991443972474601,0.018093949811523125,False
218,4581,logT_over_pi_h1,1,0.9991423598797168,0.017938421031788998,0.9991423598797168,0.017938421031788998,False
219,4581,logT_over_pi_h1,1,0.9991631313492589,0.017859720376973698,0.9991631313492589,0.017859720376973698,False
220,4581,logT_over_pi_h1,1,0.9991582784561371,0.017543360778963013,0.9991582784561371,0.017543360778963013,False
221,4581,logT_over_pi_h1,1,0.9991489806059529,0.018049062456967135,0.9991489806059529,0.018049062456967135,False
222,4581,logT_over_pi_h1,1,0.9991434247255343,0.017911726583415444,0.9991434247255343,0.017911726583415444,False
223,4581,logT_over_pi_h1,1,0.9991474576483345,0.01797435043663942,0.9991474576483345,0.01797435043663942,False
224,4581,logT_over_pi_h1,1,0.9991604475089308,0.017764163327580462,0.9991604475089308,0.017764163327580462,False
225,4581,logT_over_pi_h1,1,0.9991597889930629,0.017786337008617537,0.9991597889930629,0.017786337008617537,False
226,4581,logT_over_pi_h1,1,0.9991550380594432,0.017912680780233003,0.9991550380594432,0.017912680780233003,False
227,4581,logT_over_pi_h1,1,0.9991656768520842,0.01790253575571743,0.9991656768520842,0.01790253575571743,False
228,4581,logT_over_pi_h1,1,0.9991671853270732,0.01766388473114411,0.9991671853270732,0.01766388473114411,False
229,4581,logT_over_pi_h1,1,0.9991628511450967,0.017996944854918873,0.9991628511450967,0.017996944854918873,False
230,4581,logT_over_pi_h1,1,0.9991409756518012,0.017959943076308882,0.9991409756518012,0.017959943076308882,False
231,4581,logT_over_pi_h1,1,0.9991604966383563,0.01780846077345366,0.9991604966383563,0.01780846077345366,False
